carrierCode;tailNum;planeModel;planeYear;
AA;N051AA;;;
AA;N059AA;;;
AA;N060AA;;;
AA;N063AA;;;
AA;N064AA;;;
AA;N066AA;;;
AA;N067AA;;;
AA;N069AA;;;
AA;N071AA;;;
AA;N073AA;;;
AA;N075AA;;;
AA;N076AA;;;
AA;N077AA;;;
AA;N079AA;;;
AA;N080AA;;;
AA;N081AA;;;
AA;N082AA;;;
AA;N083AA;;;
AA;N084AA;;;
XE;N10156;EMB-145XR;2004;
US;N102UW;A320-214;1998;
CO;N10323;737-3TO;1986;
US;N103US;A320-214;1999;
US;N104UW;A320-214;1999;
US;N105UW;A320-214;1999;
US;N106US;A320-214;1999;
US;N107US;A320-214;1999;
US;N108UW;A320-214;1999;
US;N109UW;A320-214;1999;
US;N110UW;A320-214;1999;
XE;N11106;EMB-145XR;2002;
XE;N11109;EMB-145XR;2002;
XE;N11113;EMB-145XR;2002;
XE;N11119;EMB-145XR;2002;
XE;N11121;EMB-145XR;2003;
XE;N11127;EMB-145XR;2003;
XE;N11137;EMB-145XR;2003;
XE;N11140;EMB-145XR;2003;
XE;N11150;EMB-145XR;2003;
XE;N11155;EMB-145XR;2004;
XE;N11176;EMB-145XR;2004;
XE;N11181;EMB-145XR;2005;
XE;N11184;EMB-145XR;2005;
XE;N11189;EMB-145XR;2005;
XE;N11191;EMB-145XR;2005;
XE;N11192;EMB-145XR;2005;
XE;N11193;EMB-145XR;2005;
XE;N11194;EMB-145XR;2005;
XE;N11199;EMB-145XR;2006;
US;N111US;A320-214;1999;
CO;N11206;737-824;2000;
US;N112US;A320-214;1999;
US;N113UW;A320-214;1999;
XE;N11535;EMB-145LR;2001;
XE;N11536;EMB-145LR;2001;
XE;N11539;EMB-145LR;2001;
XE;N11544;EMB-145LR;2002;
XE;N11548;EMB-145LR;2002;
XE;N11551;EMB-145LR;2002;
XE;N11565;EMB-145LR;2002;
CO;N11612;737-524;1994;
CO;N11651;737-524;1997;
US;N117UW;A320-214;2000;
US;N118US;A320-214;2000;
US;N119US;A320-214;2000;
CO;N12109;757-224;1994;
CO;N12114;757-224;1995;
CO;N12116;757-224;1996;
XE;N12122;EMB-145XR;2003;
CO;N12125;757-224;1998;
XE;N12126;EMB-145XR;2003;
XE;N12135;EMB-145XR;2003;
XE;N12136;EMB-145XR;2003;
XE;N12142;EMB-145XR;2003;
XE;N12145;EMB-145XR;2003;
XE;N12157;EMB-145XR;2004;
XE;N12160;EMB-145XR;2004;
XE;N12172;EMB-145XR;2004;
XE;N12195;EMB-145XR;2005;
DL;N121DE;767-332;1987;
US;N121UW;A320-214;2000;
XE;N12201;EMB-145XR;2006;
CO;N12216;737-824;1998;
CO;N12218;737-824;1998;
CO;N12221;737-824;1998;
CO;N12225;737-824;1998;
CO;N12238;737-824;1999;
US;N122US;A320-214;2000;
CO;N12313;737-3TO;1985;
CO;N12318;737-3TO;1986;
CO;N12319;737-3TO;1986;
CO;N12322;737-3TO;1986;
