IdVuelo;div1airport;
6973;IAD;
8794;SYR;
13655;BWI;
11396;ONT;
4304;PIT;
7755;ROC;
120;PHL;
238;LAX;
1120;MHT;
1185;BDL;
1256;IAD;
1534;PVD;
2439;LAS;
2619;DTW;
2691;SYR;
2761;PIT;
2801;MDT;
2950;IAD;
2964;PIT;
3024;DEN;
3346;BOS;
3390;PVD;
3592;PVD;
3887;PIT;
4265;MDT;
4292;ONT;
4353;BOS;
4428;BWI;
4498;CLT;
4588;IAD;
4867;PVD;
5008;BWI;
5081;CMH;
5734;ORF;
5870;AVP;
6375;MDT;
6473;ORD;
6564;IAD;
6747;SYR;
6887;PIT;
6900;BWI;
6927;IAD;
7172;ONT;
7212;LGA;
7225;EWR;
7350;BWI;
7399;BDL;
7419;BDL;
7604;BWI;
7706;GRB;
8015;ROC;
8374;TPA;
8398;AVP;
8566;MDT;
8914;ABE;
9652;BWI;
9755;PIT;
10546;MDT;
10622;PIT;
10937;BOS;
11013;BDL;
11230;PIT;
11251;PIT;
11927;DCA;
12138;BDL;
12215;BWI;
12253;BOS;
12287;BWI;
12585;PIT;
12627;ATL;
12777;PIT;
13400;ATL;
13455;PIT;
13851;DEN;
13912;MSN;
15497;SFO;
16353;SYR;
18893;SDF;
19171;LAS;
20504;DFW;
21775;BFL;
22288;ONT;
23983;ATL;
24086;DAL;
24795;CID;
25020;PIA;
25785;ONT;
26171;SCC;
26308;BUF;
26616;MKE;
27145;BOI;
28235;FAT;
29085;SBA;
29204;ATL;
32203;ONT;
32414;ONT;
32611;CMH;
32624;ONT;
32644;BUR;
33034;SLC;
33052;ONT;
33360;SFO;
33499;BFL;
33903;ONT;
34117;ONT;
34495;HRL;
35034;CVG;
36267;HRL;
36294;PIT;
36379;LAS;
36498;ONT;
37030;LAS;
37144;ONT;
37179;HNL;
37537;LAX;
39735;BIS;
39953;ABQ;
41218;IAD;
43175;BUR;
43648;OME;
43649;ANC;
43650;OTZ;
43746;ONT;
44159;MKE;
44770;IAH;
48290;CMH;
6973;EWR;
8794;EWR;
13655;EWR;
11396;LAX;
4304;PHL;
7755;SWF;
