IdVuelo;idIncidente;
43;43;
60;60;
62;62;
86;86;
89;89;
90;90;
91;91;
95;95;
97;97;
98;98;
101;101;
106;106;
107;107;
108;108;
111;111;
114;114;
116;116;
117;117;
119;119;
121;121;
122;122;
128;128;
134;134;
135;135;
140;140;
142;142;
148;148;
150;150;
153;153;
155;155;
164;164;
176;176;
180;180;
183;183;
186;186;
187;187;
189;189;
194;194;
196;196;
197;197;
198;198;
200;200;
207;207;
219;219;
220;220;
223;223;
233;233;
236;236;
241;241;
246;246;
249;249;
254;254;
259;259;
262;262;
265;265;
267;267;
275;275;
276;276;
278;278;
295;295;
298;298;
309;309;
312;312;
318;318;
319;319;
321;321;
322;322;
323;323;
325;325;
326;326;
327;327;
329;329;
334;334;
339;339;
353;353;
357;357;
358;358;
365;365;
369;369;
383;383;
389;389;
393;393;
399;399;
401;401;
406;406;
410;410;
411;411;
412;412;
413;413;
414;414;
418;418;
424;424;
426;426;
433;433;
434;434;
437;437;
441;441;
442;442;
443;443;
445;445;
446;446;
447;447;
459;459;
461;461;
462;462;
465;465;
467;467;
469;469;
471;471;
476;476;
478;478;
483;483;
487;487;
494;494;
498;498;
501;501;
502;502;
504;504;
505;505;
506;506;
507;507;
508;508;
512;512;
513;513;
514;514;
519;519;
520;520;
522;522;
525;525;
528;528;
529;529;
536;536;
538;538;
545;545;
550;550;
556;556;
563;563;
575;575;
588;588;
594;594;
595;595;
603;603;
604;604;
610;610;
615;615;
616;616;
628;628;
631;631;
643;643;
650;650;
651;651;
654;654;
658;658;
659;659;
662;662;
667;667;
668;668;
669;669;
675;675;
677;677;
680;680;
685;685;
686;686;
687;687;
692;692;
695;695;
699;699;
706;706;
714;714;
724;724;
731;731;
732;732;
742;742;
743;743;
749;749;
753;753;
755;755;
765;765;
790;790;
791;791;
792;792;
793;793;
797;797;
802;802;
811;811;
816;816;
823;823;
824;824;
830;830;
831;831;
834;834;
837;837;
840;840;
845;845;
851;851;
855;855;
858;858;
859;859;
863;863;
872;872;
873;873;
874;874;
876;876;
877;877;
878;878;
886;886;
887;887;
888;888;
896;896;
897;897;
902;902;
903;903;
914;914;
919;919;
920;920;
921;921;
924;924;
926;926;
929;929;
932;932;
937;937;
942;942;
963;963;
967;967;
969;969;
970;970;
976;976;
977;977;
983;983;
990;990;
992;992;
995;995;
1003;1003;
1006;1006;
1013;1013;
1015;1015;
1019;1019;
1021;1021;
1025;1025;
1026;1026;
1030;1030;
1034;1034;
1043;1043;
1046;1046;
1053;1053;
1061;1061;
1066;1066;
1070;1070;
1097;1097;
1098;1098;
1103;1103;
1115;1115;
1135;1135;
1147;1147;
1159;1159;
1164;1164;
1182;1182;
1194;1194;
1195;1195;
1197;1197;
1198;1198;
1200;1200;
1201;1201;
1212;1212;
1214;1214;
1215;1215;
1216;1216;
1229;1229;
1232;1232;
1254;1254;
1269;1269;
1271;1271;
1272;1272;
1281;1281;
1293;1293;
1294;1294;
1295;1295;
1299;1299;
1305;1305;
1326;1326;
1350;1350;
1353;1353;
1354;1354;
1355;1355;
1371;1371;
1373;1373;
1377;1377;
1380;1380;
1388;1388;
1399;1399;
1400;1400;
1403;1403;
1405;1405;
1412;1412;
1413;1413;
1419;1419;
1421;1421;
1422;1422;
1429;1429;
1430;1430;
1443;1443;
1450;1450;
1451;1451;
1459;1459;
1472;1472;
1473;1473;
1474;1474;
1482;1482;
1483;1483;
1490;1490;
1494;1494;
1509;1509;
1514;1514;
1519;1519;
1521;1521;
1538;1538;
1552;1552;
1554;1554;
1565;1565;
1580;1580;
1581;1581;
1596;1596;
1604;1604;
1610;1610;
1612;1612;
1614;1614;
1628;1628;
1630;1630;
