IdVuelo;idIncidente;crsArrTime;arrTime;carrierDelay;weatherDelay;nasDelay;securityDelay;lateAircraftDelay;divArrDelay;div1airport;div2airport;delay
3166;3166;2359;1;0;0;0;0;0;;;;1
17018;17018;2358;1;0;0;0;0;0;;;;1
17401;17401;2359;1;0;0;0;0;0;;;;1
21389;21389;1;1;0;0;0;0;0;;;;1
21414;21414;5;1;0;0;0;0;0;;;;1
32279;32279;10;1;0;0;0;0;0;;;;1
35421;35421;2347;1;0;0;0;0;0;;;;1
41259;41259;2359;1;0;0;0;0;0;;;;1
44773;44773;34;1;0;0;0;0;0;;;;1
13819;13819;2359;2;0;0;0;0;0;;;;1
28910;28910;11;2;0;0;0;0;0;;;;1
30408;30408;5;2;0;0;0;0;0;;;;1
33941;33941;2351;2;0;0;0;0;0;;;;1
37362;37362;16;2;0;0;0;0;0;;;;1
42352;42352;10;2;0;0;0;0;0;;;;1
46496;46496;2352;2;0;0;0;0;0;;;;1
17164;17164;2359;3;0;0;0;0;0;;;;1
25079;25079;8;3;0;0;0;0;0;;;;1
28091;28091;2356;3;0;0;0;0;0;;;;1
5369;5369;11;4;0;0;0;0;0;;;;1
6511;6511;2357;4;0;0;0;0;0;;;;1
30992;30992;2352;4;0;0;0;0;0;;;;1
31730;31730;19;4;0;0;0;0;0;;;;1
39684;39684;2359;4;0;0;0;0;0;;;;1
44006;44006;2355;4;0;0;0;0;0;;;;1
44926;44926;2359;4;0;0;0;0;0;;;;1
48008;48008;8;4;0;0;0;0;0;;;;1
11150;11150;2359;5;0;0;0;0;0;;;;1
14845;14845;19;5;0;0;0;0;0;;;;1
18966;18966;18;5;0;0;0;0;0;;;;1
19830;19830;2355;5;0;0;0;0;0;;;;1
27547;27547;20;5;0;0;0;0;0;;;;1
33932;33932;2359;5;0;0;0;0;0;;;;1
34129;34129;2359;5;0;0;0;0;0;;;;1
35991;35991;2355;5;0;0;0;0;0;;;;1
46901;46901;14;5;0;0;0;0;0;;;;1
4928;4928;12;6;0;0;0;0;0;;;;1
12462;12462;2352;6;0;0;0;0;0;;;;1
14248;14248;2357;6;0;0;0;0;0;;;;1
20290;20290;2355;6;0;0;0;0;0;;;;1
24545;24545;10;6;0;0;0;0;0;;;;1
47245;47245;12;6;0;0;0;0;0;;;;1
10799;10799;29;7;0;0;0;0;0;;;;1
30179;30179;2355;7;0;0;0;0;0;;;;1
36433;36433;2358;7;0;0;0;0;0;;;;1
30250;30250;15;8;0;0;0;0;0;;;;1
30886;30886;2355;8;0;0;0;0;0;;;;1
3857;3857;2359;9;0;0;0;0;0;;;;1
4307;4307;17;9;0;0;0;0;0;;;;1
23759;23759;36;9;0;0;0;0;0;;;;1
29550;29550;2355;9;0;0;0;0;0;;;;1
38975;38975;19;9;0;0;0;0;0;;;;1
39533;39533;20;9;0;0;0;0;0;;;;1
46201;46201;25;9;0;0;0;0;0;;;;1
25082;25082;10;10;0;0;0;0;0;;;;1
5315;5315;21;11;0;0;0;0;0;;;;1
19410;19410;25;11;0;0;0;0;0;;;;1
19447;19447;2358;11;0;0;0;0;0;;;;1
23121;23121;19;11;0;0;0;0;0;;;;1
31875;31875;2358;11;0;0;0;0;0;;;;1
35750;35750;17;11;0;0;0;0;0;;;;1
35813;35813;13;11;0;0;0;0;0;;;;1
27582;27582;24;12;0;0;0;0;0;;;;1
35462;35462;2359;12;0;0;0;0;0;;;;1
37663;37663;33;12;0;0;0;0;0;;;;1
31791;31791;2359;13;0;0;0;0;0;;;;1
21561;21561;35;14;0;0;0;0;0;;;;1
36583;36583;20;14;0;0;0;0;0;;;;1
32341;32341;20;15;0;0;0;0;0;;;;1
36106;36106;20;15;0;0;0;0;0;;;;1
38781;38781;27;15;0;0;0;0;0;;;;1
44734;44734;17;15;0;0;0;0;0;;;;1
2023;2023;39;16;0;0;0;0;0;;;;1
20488;20488;30;16;0;0;0;0;0;;;;1
33782;33782;18;16;0;0;0;0;0;;;;1
19881;19881;19;18;0;0;0;0;0;;;;1
33323;33323;30;18;0;0;0;0;0;;;;1
3714;3714;20;19;0;0;0;0;0;;;;1
4544;4544;25;19;0;0;0;0;0;;;;1
20733;20733;20;19;0;0;0;0;0;;;;1
25668;25668;23;19;0;0;0;0;0;;;;1
25906;25906;20;20;0;0;0;0;0;;;;1
11146;11146;37;21;0;0;0;0;0;;;;1
16618;16618;39;21;0;0;0;0;0;;;;1
46970;46970;31;21;0;0;0;0;0;;;;1
20755;20755;37;22;0;0;0;0;0;;;;1
27149;27149;30;22;0;0;0;0;0;;;;1
19001;19001;35;24;0;0;0;0;0;;;;1
22489;22489;35;24;0;0;0;0;0;;;;1
24094;24094;25;24;0;0;0;0;0;;;;1
28745;28745;40;24;0;0;0;0;0;;;;1
32795;32795;25;24;0;0;0;0;0;;;;1
44629;44629;44;25;0;0;0;0;0;;;;1
40621;40621;35;26;0;0;0;0;0;;;;1
37613;37613;35;27;0;0;0;0;0;;;;1
39008;39008;38;28;0;0;0;0;0;;;;1
21489;21489;35;29;0;0;0;0;0;;;;1
27389;27389;53;29;0;0;0;0;0;;;;1
5180;5180;30;30;0;0;0;0;0;;;;1
21902;21902;37;30;0;0;0;0;0;;;;1
2816;2816;49;31;0;0;0;0;0;;;;1
20787;20787;59;31;0;0;0;0;0;;;;1
37077;37077;55;31;0;0;0;0;0;;;;1
7353;7353;35;32;0;0;0;0;0;;;;1
39830;39830;45;32;0;0;0;0;0;;;;1
7405;7405;45;33;0;0;0;0;0;;;;1
27243;27243;36;33;0;0;0;0;0;;;;1
16337;16337;50;34;0;0;0;0;0;;;;1
41284;41284;40;35;0;0;0;0;0;;;;1
36100;36100;40;36;0;0;0;0;0;;;;1
16930;16930;55;37;0;0;0;0;0;;;;1
35729;35729;47;37;0;0;0;0;0;;;;1
18639;18639;45;39;0;0;0;0;0;;;;1
35720;35720;40;39;0;0;0;0;0;;;;1
36975;36975;40;39;0;0;0;0;0;;;;1
44137;44137;55;40;0;0;0;0;0;;;;1
37693;37693;50;42;0;0;0;0;0;;;;1
15267;15267;50;43;0;0;0;0;0;;;;1
16464;16464;55;44;0;0;0;0;0;;;;1
43877;43877;50;46;0;0;0;0;0;;;;1
16765;16765;50;47;0;0;0;0;0;;;;1
25625;25625;55;47;0;0;0;0;0;;;;1
36621;36621;50;47;0;0;0;0;0;;;;1
10580;10580;54;48;0;0;0;0;0;;;;1
17099;17099;49;48;0;0;0;0;0;;;;1
19534;19534;55;48;0;0;0;0;0;;;;1
34390;34390;49;48;0;0;0;0;0;;;;1
21615;21615;59;49;0;0;0;0;0;;;;1
35395;35395;107;49;0;0;0;0;0;;;;1
36773;36773;53;49;0;0;0;0;0;;;;1
32172;32172;55;50;0;0;0;0;0;;;;1
35704;35704;52;50;0;0;0;0;0;;;;1
46737;46737;55;50;0;0;0;0;0;;;;1
21666;21666;115;51;0;0;0;0;0;;;;1
44978;44978;53;51;0;0;0;0;0;;;;1
33992;33992;55;52;0;0;0;0;0;;;;1
40369;40369;102;53;0;0;0;0;0;;;;1
46209;46209;55;53;0;0;0;0;0;;;;1
17132;17132;107;54;0;0;0;0;0;;;;1
35305;35305;55;54;0;0;0;0;0;;;;1
35844;35844;55;54;0;0;0;0;0;;;;1
42816;42816;55;54;0;0;0;0;0;;;;1
19659;19659;55;55;0;0;0;0;0;;;;1
6430;6430;115;58;0;0;0;0;0;;;;1
39354;39354;115;109;0;0;0;0;0;;;;1
23070;23070;122;117;0;0;0;0;0;;;;1
23046;23046;130;125;0;0;0;0;0;;;;1
43704;43704;240;208;0;0;0;0;0;;;;1
22452;22452;243;225;0;0;0;0;0;;;;1
25883;25883;240;225;0;0;0;0;0;;;;1
10211;10211;240;233;0;0;0;0;0;;;;1
8258;8258;243;234;0;0;0;0;0;;;;1
39768;39768;243;236;0;0;0;0;0;;;;1
24906;24906;309;307;0;0;0;0;0;;;;1
22465;22465;347;321;0;0;0;0;0;;;;1
39421;39421;347;338;0;0;0;0;0;;;;1
22408;22408;356;341;0;0;0;0;0;;;;1
32729;32729;356;350;0;0;0;0;0;;;;1
6832;6832;417;403;0;0;0;0;0;;;;1
6449;6449;450;417;0;0;0;0;0;;;;1
5982;5982;455;422;0;0;0;0;0;;;;1
19285;19285;445;424;0;0;0;0;0;;;;1
23855;23855;500;425;0;0;0;0;0;;;;1
39619;39619;452;426;0;0;0;0;0;;;;1
27327;27327;432;431;0;0;0;0;0;;;;1
6574;6574;520;434;0;0;0;0;0;;;;1
10066;10066;458;434;0;0;0;0;0;;;;1
38829;38829;453;434;0;0;0;0;0;;;;1
24134;24134;440;435;0;0;0;0;0;;;;1
42749;42749;455;435;0;0;0;0;0;;;;1
41707;41707;455;438;0;0;0;0;0;;;;1
8624;8624;455;439;0;0;0;0;0;;;;1
8606;8606;502;440;0;0;0;0;0;;;;1
19672;19672;445;440;0;0;0;0;0;;;;1
32175;32175;503;440;0;0;0;0;0;;;;1
7113;7113;521;441;0;0;0;0;0;;;;1
9944;9944;512;441;0;0;0;0;0;;;;1
573;573;506;442;0;0;0;0;0;;;;1
4549;4549;502;442;0;0;0;0;0;;;;1
7897;7897;504;442;0;0;0;0;0;;;;1
39788;39788;503;444;0;0;0;0;0;;;;1
468;468;455;445;0;0;0;0;0;;;;1
22436;22436;503;445;0;0;0;0;0;;;;1
6222;6222;505;446;0;0;0;0;0;;;;1
17515;17515;500;446;0;0;0;0;0;;;;1
25757;25757;455;446;0;0;0;0;0;;;;1
15251;15251;503;447;0;0;0;0;0;;;;1
43301;43301;512;447;0;0;0;0;0;;;;1
2961;2961;500;448;0;0;0;0;0;;;;1
31746;31746;505;448;0;0;0;0;0;;;;1
6839;6839;505;449;0;0;0;0;0;;;;1
24431;24431;455;449;0;0;0;0;0;;;;1
39884;39884;500;449;0;0;0;0;0;;;;1
271;271;505;450;0;0;0;0;0;;;;1
6412;6412;503;451;0;0;0;0;0;;;;1
3764;3764;455;452;0;0;0;0;0;;;;1
6471;6471;453;452;0;0;0;0;0;;;;1
7219;7219;523;452;0;0;0;0;0;;;;1
18330;18330;455;452;0;0;0;0;0;;;;1
22013;22013;515;452;0;0;0;0;0;;;;1
23521;23521;505;452;0;0;0;0;0;;;;1
7308;7308;500;453;0;0;0;0;0;;;;1
16713;16713;506;453;0;0;0;0;0;;;;1
43489;43489;458;453;0;0;0;0;0;;;;1
1116;1116;503;454;0;0;0;0;0;;;;1
21538;21538;502;454;0;0;0;0;0;;;;1
21029;21029;505;455;0;0;0;0;0;;;;1
21811;21811;500;455;0;0;0;0;0;;;;1
35559;35559;505;455;0;0;0;0;0;;;;1
18315;18315;505;456;0;0;0;0;0;;;;1
22564;22564;500;456;0;0;0;0;0;;;;1
31660;31660;506;456;0;0;0;0;0;;;;1
39115;39115;504;456;0;0;0;0;0;;;;1
42926;42926;522;456;0;0;0;0;0;;;;1
1110;1110;507;457;0;0;0;0;0;;;;1
8756;8756;503;457;0;0;0;0;0;;;;1
39567;39567;504;457;0;0;0;0;0;;;;1
21605;21605;524;458;0;0;0;0;0;;;;1
22030;22030;504;458;0;0;0;0;0;;;;1
6868;6868;542;459;0;0;0;0;0;;;;1
23925;23925;505;459;0;0;0;0;0;;;;1
9642;9642;522;500;0;0;0;0;0;;;;1
20915;20915;511;500;0;0;0;0;0;;;;1
3820;3820;505;501;0;0;0;0;0;;;;1
17904;17904;525;501;0;0;0;0;0;;;;1
38039;38039;508;502;0;0;0;0;0;;;;1
1406;1406;518;503;0;0;0;0;0;;;;1
37940;37940;505;503;0;0;0;0;0;;;;1
24074;24074;523;506;0;0;0;0;0;;;;1
25137;25137;508;506;0;0;0;0;0;;;;1
39545;39545;521;506;0;0;0;0;0;;;;1
6935;6935;515;507;0;0;0;0;0;;;;1
15260;15260;507;507;0;0;0;0;0;;;;1
25429;25429;512;507;0;0;0;0;0;;;;1
39364;39364;534;507;0;0;0;0;0;;;;1
7637;7637;554;509;0;0;0;0;0;;;;1
11455;11455;601;510;0;0;0;0;0;;;;1
38842;38842;525;512;0;0;0;0;0;;;;1
39870;39870;515;514;0;0;0;0;0;;;;1
9190;9190;521;515;0;0;0;0;0;;;;1
35140;35140;532;515;0;0;0;0;0;;;;1
39399;39399;542;515;0;0;0;0;0;;;;1
40103;40103;538;515;0;0;0;0;0;;;;1
7027;7027;525;516;0;0;0;0;0;;;;1
8428;8428;530;516;0;0;0;0;0;;;;1
24973;24973;521;516;0;0;0;0;0;;;;1
22112;22112;521;518;0;0;0;0;0;;;;1
26597;26597;545;518;0;0;0;0;0;;;;1
42441;42441;521;521;0;0;0;0;0;;;;1
2642;2642;543;522;0;0;0;0;0;;;;1
3275;3275;532;522;0;0;0;0;0;;;;1
22633;22633;550;523;0;0;0;0;0;;;;1
18471;18471;525;524;0;0;0;0;0;;;;1
6814;6814;533;525;0;0;0;0;0;;;;1
15223;15223;543;526;0;0;0;0;0;;;;1
18398;18398;530;526;0;0;0;0;0;;;;1
39711;39711;549;526;0;0;0;0;0;;;;1
39972;39972;550;526;0;0;0;0;0;;;;1
7051;7051;550;527;0;0;0;0;0;;;;1
37209;37209;536;527;0;0;0;0;0;;;;1
4202;4202;548;528;0;0;0;0;0;;;;1
14994;14994;549;528;0;0;0;0;0;;;;1
22387;22387;550;529;0;0;0;0;0;;;;1
32902;32902;545;529;0;0;0;0;0;;;;1
3250;3250;554;531;0;0;0;0;0;;;;1
22192;22192;542;531;0;0;0;0;0;;;;1
23198;23198;538;531;0;0;0;0;0;;;;1
34778;34778;553;531;0;0;0;0;0;;;;1
38980;38980;557;531;0;0;0;0;0;;;;1
39451;39451;554;531;0;0;0;0;0;;;;1
5309;5309;536;533;0;0;0;0;0;;;;1
18493;18493;555;533;0;0;0;0;0;;;;1
22280;22280;549;533;0;0;0;0;0;;;;1
